වචනය,"සමාන පදමාලාව"
සෛලතලය,"[නා.] (උද්භි.) න්‍යෂ්ටික විභාජනයෙන් පසු ඇතිවන, සෛලප්ලාස්ම විභාජනය සිදු වන කාලයේ සිවියකින් බැඳුණු තලය."
සෛලදේහය,"(පාරිභා.) [නා.] සෛලයේ තිබෙන සමස්තයක් වශයෙන් ගනු ලබන මුළු මහත් සෛල ප්ලාස්මය."
සෛලප්ලාස්මය,"[නා.] සෛලයක න්‍යෂ්ටිය හැරුණු විට ප්‍රාක්ප්ලාස්මයේ අනික් කොටස."
සෛලපුටය,"[නා.] ඒකසෛලීය ජීවීන් කෙරෙහි, විශේෂයෙන් සිලියොපෝරාවන් කෙරෙහි දක්නා ලැබෙන කටක් වැනි විවරය."
සෛලය,"[නා.] 1. සෑම සත්ව සහ ශාක ජීව වස්තුවක් ම නිර්මාණය වී ඇති කුඩාතම සජීවි ඒකකය.
2. කුඩා කාමරය ; කෝශය ; ගුහාව.
3. විප්ලවකාරී කුඩා දේශපාලන කණ්ඩායමක තිප්පොල."
සෛලවාදය,"[නා.] සෑම ජීවේන්ද්‍රියයකම මූලික ඒකකය සෛලය යන සිද්ධාන්තය පදනම් වූ උපකල්පනාව."
සෛලවිද්‍යාව,"[නා.] සෛලවල ව්‍යුහය, ක්‍රියාවලිය, ප්‍රජනනය ආදිය පිළිබඳ ජීව විද්‍යා අංශය."
සෛලෝද්භවය,"[නා.] මුලින් පැවති ප්‍රධාන බීජාණුවේ න්‍යෂ්ටිය බෙදී යාමෙන් ස්වාධීන සෛල ඇතිවීම."
"සො, සෝ","[නා.ප්‍ර.] 1. කන.
2. ශෝකය.
3. ඩහදිය."
"සොකඩය, සොකඩේ","[නා.] තවලමක ගවයන්ගේ කරේ එල්ලන නොහොත්, ගොවි බිම්වලින් සතුන් බියවද්දා පළවා හැරීම සඳහා ගැනෙන දාරුමය හෝ ලෝහමය සීනුව."
සොකර,"[වි.] ඇද ; කොර ; වක් වූ."
සොකරා,"[නා.] 1. කෙට්ටු පුද්ගලයා.
2. කොර තැනැත්තා."
සොකරි,"[නා.ප්‍ර.] පුරාණ සිංහල ගැමි නාටක විශේෂයක්."
සොක්කම්,"[වි.] ආභරණ විශේෂයක්."
සොකැට්ටුව,"[නා.] යමක් සවි කරනු ලබන වළ ; කෙවෙනිය."
සොච්චම,"[නා.] ඉතා ස්වල්පය."
සොට්,"[නි.] මැනවින් ; පහසුවෙන්."
සොට්ටි,"[වි.] කොර ; අබ්බගාත ; අතක් හෝ කකුලක් කොට හෝ ඇද."
සොටිය,"[නා.] ආයුධ විශේෂයක නාමය ; හෙල්ල ; හොටිය."
"සොටු දිය","[නා.ප්‍ර.] නාසයෙන් වැගිරෙන සෙම වැනි අපවිත්‍ර ද්‍රව්‍යය."
සොණ්ඩ,"[නා.ප්‍ර.] 1. හොඬවැල ; හස්තියාගේ දික් වූ නාසය.
2. ලෝභය ; ආශාව.
3. ලොල් වූ තැනැත්තා.
[වි.] ලොල්."
සොණ්ඩක,"[නා.ප්‍ර.] සුරා වෙළෙන්දා."
සොණ්ඩිය,"[නා.] ගල්පර්වතවල ස්වාභාවික ව ඇති වී පවතින පොකුණ."
සොඬ,"[නා.ප්‍ර.] 1. ඇත් සොඬය.
2. ගිජු වූ පුද්ගලයා.
3. ඉබ්බාගේ හිස."
"සොඬනල කරාමය","[නා.] ජලය ඈතට ගෙනයාම සඳහා රබර් නලයකට සවිකරන කරාමය."
සොඬනලය,"[නා.] මෝටර් රථ රේඩියේටර්වලට සවි කරන මහත ශක්තිමත් රබර් නලය."
සොත්ථි,"[වි.] යහපත් ; ශුභදායක."
"සොත්ථි ශාලාව","[නා.] ආරෝග්‍ය ශාලාව."
සොන්,"[නා.ප්‍ර.] බල්ලා ; සුනඛයා."
සොන්දු,"[නා.ප්‍ර.] සුන්දරිය ; සිත් අලවන ස්ත්‍රිය."
සොඳ,"[වි.] සොඳුරු ; යහපත් ; සුබදායක ; ශෝභන ; සිත් අලවන ; ප්‍රියමනාප."
සොඳරහට,"[ක්‍රි.වි.] මනා වූ ආකාරයට."
සොඳිරි,"[නා.ප්‍ර.] කටුසු වර්ගයක් ; බෝදිලිමා."
සොඳුර,"[නා.ප්‍ර.] 1. යහපත් කාන්තාව.
2. ප්‍රිය වූ බිරිඳ."
සොඳුරු,"[වි.] සුන්දර ; යහපත්."
සොප්නය,"[නා.] සිහිනය ; ස්වප්නය."
සොප්පට,"(කථා.) [වි.] අසමර්ථ ; අදක්ෂ."
සොප්පනිය,"[නා.] ඇඳ හෝ නිදා ගැනීමට භාවිතා කරන එවැනි ගෘහෝපකරණය."
සොප්පියය,"[නා.] වරකට බීමට සුදුසු ප්‍රමාණය."
සොපු,"[වි.] මිථ්‍යා ; බොරු ; වැරදි."
සොබ,"[නා.ප්‍ර.] 1. උපමාව.
2. වළ ; ජිද්‍රය."
"සොබන, සොබනා","[වි.] 1. ශෝභන වූ ; බබළන.
2. යහපත් ; මනා ; සොඳ.
3. සුදුසු ; ඔබින.
[නා.ප්‍ර.] 1. දෙවියා.
2. යහපත."
"සොබමන, සොබමන්, සොබමාන","[වි.] ශෝභමාන ; ශෝභාවෙන් යුත්."
සොබ්භ,"[නා.ප්‍ර.] දියවළ ; හෙබ."
"සොබාදම, සොබාදහම","[නා.] කෙනෙකුගේ බලපෑමක් නැති ව ස්වභාවිකව යමක් සිදුවීමේ න්‍යාය ; ස්වභාව ධර්මය."
සොබැග,"[නා.ප්‍ර.] සෞභාග්‍යය."
සොබී,"[වි.] මනහර ; ශෝභන."
සොබොන,"[වි.] හොබවන ; අලංකාර කරන."
සොම්නස,"[නා.ප්‍ර.] සතුට ; ප්‍රීතිය ; සන්තෝෂය."
සොම්නස්,"[වි.] සතුටින් යුතු ; ප්‍රීතිමත්."
සොම්ම,"[නා.ප්‍ර.] නුවණැත්තා."
"සොම්මර, සොම්මාර","[නා.ප්‍ර.] සම් වැඩ කරන්නා ; සම්වලින් භාණ්ඩ සාදන්නා."
සොමි,"[වි.] 1. සෞම්‍ය ; කර්කෂ නුවූ ; ශාන්ත ; දැකුම්කළු.
[නා.ප්‍ර.] 1. සෞම්‍යබව ; මනහර බව ; කර්කෂ නොවන බව.
2. සෞම්‍ය රසය.
3. චන්ද්‍රයා ; සඳ.
4. බුධ ග්‍රහයා.
5. උතුරු දිශාව."
සොමිකුල,"[නා.ප්‍ර.] සෞම්‍ය වූ වංශය ; සඳකුලය."
සොමිදා,"[නා.ප්‍ර.] සෞම්‍ය වූ ධාතුව ; ශුක්‍ර ධාතුව."
සොමිදින,"[නා.ප්‍ර.] සඳුදින ; සඳුදා."
සොමිදෙස,"[නා.ප්‍ර.] වම්පැත්ත ; වම් පාර්ශ්වය."
සොමිසඳාණෝ,"[නා.බහු.] (ගෞරවාර්ථ) සෞම්‍ය වූ චන්ද්‍රයා බඳු බුදුරජාණන් වහන්සේ."
සොමිසුත,"[නා.ප්‍ර.] බුද දිනය ; බදාදා."
සොයනවා,"[ක්‍රි.] 1. චෝදනා කරනවා ; දොස් පවරනවා.
2. ශුද්ධ කරනවා ; පිරිසිදු කරනවා.
3. සේවනය කරනවා ; ඇසුරු කරනවා.
4. පරික්ෂා කරනවා ; ඇති තතු විමසා බලනවා ; නැති වූ දෙයක් ගැන විපරම් කරනවා.
5. සියුම් ලෙස අධ්‍යයනය කරනවා.
6. සෙවිලි කරනවා ; උළු, වියූ පොල් අතු ආදියෙන් වහලක් වහනවා."
"සොයපත, සොයාපැත","[නා.] සෝතාපත්තිය ; සෝවාන් ඵලය."
"සොයා ගන්නවා","[ක්‍රි.] 1. පරීක්ෂාකර අනාවරණය කරගන්නවා ; දුෂ්කර ගැඹුරු අදහස් අර්ථ ආදිය ලබා ගන්නවා.
2. නැති වූ දෙයක් ලබා ගන්නවා.
3. අමුතු දෙයක් නිපදවනවා."
සොයිබය,"[නා.] ලෝහමය පීල්ලක් හෝ බම්බුවක් තුළ එහා මෙහා කරන කූරක් මඟින් ක්‍රියාත්මක වන දොර අගුලු විශේෂයක්."
සොර,"[වි.] වංචා සහගත ; සැබෑ තතු සඟවන ; අනුන් සතු දෑ රහසින් පැහැර ගැනීමේ චේතනාවෙන් යුත් ; හොර."
"සොර කහවණු","[නා.ප්‍ර.] 1. හොරට සාදා ඇති කහවණු.
2. අසාධාරණ අයුරින් උපයා ගන්නා ලද ධනය."
"සොර වියල්","[නා.ප්‍ර.] සොර විසර්ප ; හොරිගෙඩි ; සමපිට සෑදෙන ගෙඩි විශේෂයක්."
"සොර වෙළඳාම","[නා.] කූට උපක්‍රම සහ වංචා යොදමින් කරන වෙළඳාම."
සොරකුරු,"[නා.ප්‍ර.] ස්වර අකුරු ; ප්‍රාණාක්ෂර."
"සොරග, සොරගෙ, සොරගෙක","[නා.ප්‍ර.] සිපිරිගෙය ; බන්ධනාගාරය."
සොරණෑව,"[නා.] පංචතූර්ය භාණ්ඩයන්ට අයත් සුසිර භාණ්ඩයක් ; පිඹින ලොකු නලා විශේෂයක් ; හොරණෑව."
සොරණුවා,"[නා.] සොරා ; චෞරයා."
සොරඬිය,"[නා.] (විශේෂයෙන්ම) තේ වතුවල කුඩා වල් පැළෑටි උදුරා දැමීමට භාවිතා කරන කුඩා ලෝහ හෝ දැව ආයුධය."
සොරත,"[වි.] ඇලුණු ; සැදැහැති."
සොරදෙටුවා,"[නා.] සොරුන්ගේ ප්‍රධානියා ; හොර කල්ලියක නායකයා."
සොරදොර,"[නා.ප්‍ර.] වැවක සොරොව්වට සම්බන්ධ දොර ; ජලාශයක සොරොව්වේ පවතින දොර."
සොරපත්,"[නා.ප්‍ර.] හොර ලියුම්."
සොරබිය,"[නා.ප්‍ර.] සොරුන් නිසා සිදු වන බිය, විපත් ආදිය."
සොරබේදය,"[නා.] ස්වර භේදය ; උච්චාරණය අපහසු වන සේ උගුරේ ඇති වන ආබාධයක්."
සොරමල,"[නා.ප්‍ර.] සතුන් අල්වා ගැනීමට සඟවා අටවන මල පුඬුව ; තොණ්ඩුව."
සොරමසු,"[නා.ප්‍ර.] හොර මසුරන් කාසි ; නීති විරෝධි ව සෑදු කහවණු."
සොරමාරු,"[නා.ප්‍ර.] සොරුන්ගේ කපටිකම් ; සොර මායම්."
සොරමිනුම්,"[නා.ප්‍ර.] හොරට මැනීම ; වංචා සහගත ලෙස අඩුවෙන් මැනීම."
සොරමුල,"[නා.] සොරුන් කණ්ඩායම ; හොර රංචුව."
සොරවැල්ල,"[නා.] මුහුදු දිය අසල ම ඇති වැල්ල ; රළ පහරින් සේදෙන වැල්ල."
සොරස,"[නා.] 1. ස්වරසය ; ඉස්ම ; යුෂය.
2. නිකරය ; බීජාණුධානි පොකුර."
සොරසිස,"[නා.] මුල් කීපයකින් යුත් සම්පූර්ණ පුෂ්ප මංජරියකින් බිහිවන සංයුක්ත ඵල වර්ගය."
සොරා,"[නා.ප්‍ර.] 1. අනුන් සතු දේ වංචාවෙන් රහසිගතව පැහැර ගන්නා ; චෞරයා.
2. කපටියා ; බොරුකාරයා ; වංචාකාරයා."
"සොරැස්ටියන් ධර්මය","[නා.] ක්‍රිස්තු වර්ෂාරම්භයට පෙර මධ්‍යම ආසියාවේ පැතිරුණු සොරොවැස්ටර් නම් දාර්ශනිකයාගේ ධර්මය."
සොරෙහි,"[නා.ප්‍ර.] උමඟ."
සොරො,"[වි.] සාරවත් ; සරු."
"සොරොනීතය, සොරෝනීතය","[නා.] මඳ වශයෙන් උණ සහිත දුබල ගතිය."
"සොරොවු බේසම","[නා.] කුස්සිය ආදී ස්ථානවල පිඟන් ආදිය සේදීම් සඳහා ජලය රඳවා ගැනීමට ඇති කුඩා ටැංකි විශේෂය."
"සොරොවුව, සොරොව්ව","[නා.] වැව් ජලය ගොවි බිම කරා පිට කර යවනු සඳහා එහි බැම්මේ ඇති කරන ලද ද්වාරය."
"සොලනේයි කුලය","[නා.] තක්කාලි, වම්බටු, අර්තාපල් ආදිය අයත්වන ශාක ගණය."
සොලනොයිඩය,"[නා.] විදුලිය ධාරාවක් යැවූ විට කාන්දම් දණ්ඩක් ලෙස ක්‍රියාකරන නලාකාර කම්බි දඟරයක්."
සොලරු,"[නා.ප්‍ර.] හෑල්ලුව ; බාල්දුව."
"සොලවනවා, සොල්ලනවා","[ක්‍රි.] 1. චංචල කරනවා ; එහා මෙහා කරනවා.
2. ඉවත් කරනවා ; ස්ථානය මාරු කරනවා.
3. කළඹනවා ; කලත්තනවා."
සොල්,"[නා.ප්‍ර.] හිස්දෙය ; නිස්සාර දෙය."
සොල්ටීරියම්,"[නා.ප්‍ර.] රෝමන්ථකයන්ගේ තුන්වැනි ආමාශය ; ත්‍රිකාමාශය."
"සොල්දර කරාමය","[නා.] ලෑලි ආදිය අල්ලා තද කිරීමට ගන්නා වඩු කරාම විශේෂයක්."
"සොල්දරය, සොල්දරේ","[නා.] ගොඩනැගිලි ආදියේ බිත්ති උසට නංවා තනන මහල ; උඩු මහල."
සොල්දාදුවා,"[නා.] යුධ හමුදාවේ භටයා ; සෙබළා ; හේවායා."
සොල්දෝ,"[නා.ප්‍ර.] ශ්‍රී ලංකාවේ පෘතුගීසි පාලනය යටතේ පැවති පළාත්හි මුදලිවරු, හමුදා නිලධාරි ආදින්ට ගෙවූ වැටුප් හෙවත් දීමනා."
"සොල්පටරාව, සොල්පතාරාව","[නා.] අක්‍රිය ගිනිකන්දක විවරය."
"සොල්මන, හොල්මන","[නා.] 1. සෙලැවීම ; සෙලවෙන බව.
2. හඬ ; ශබ්දය.
3. යක්ෂ භූත ආදී අමනුෂ්‍ය රූපය."
සොල්ලාදුව,"[නා.] 1. ආඩම්බරය ; අහංකාරකම ; උඩඟුව.
2. නිකරුණේ ඇවිදීම ; රස්තියාදුව."
"සොලිස්ටර් ජෙනරාල්","[නා.ප්‍ර.] ඇටෝර්නි ජෙනරාල්ට පහළින් සිටින රජයේ නීති නිලධාරියා."
සොලිසිටර්,"[නා.ප්‍ර.] නීතියෙහි ආධාර පතන අයට උපදෙස් දීමට හෝ යොමු කිරීමට හෝ සුදුසුකම් ඇති නීතිඥයා."
"සොලු, සෝලු","[නා.ප්‍ර.] 1. සැරයටිය ; බස්තම; දණ්ඩ.
2. හිස ආදී තන්හි අලංකාරයට බඳින පටිය."
සොලෙනොගස්ටරයා,"(පාරිභා.) [නා.] පණුවන් බඳු, මෘද්වංගීන්ගේ අනුබෙදීමක් ; පිටකටුවක් නැති බව විශේෂ ලක්ෂණයයි."
සොලොප්පුව,"[නා.] 1. බෑවුම ; ක්‍රමවත් පල්ලම.
2. කාණුව ; අගල."
"සොලොව, සොලෝව","[නා.] 1. සංස්කෘත පද්‍යය ; ශ්ලෝකය.
2. සංස්කෘත පාළි පද්‍ය අනුව බඳින ලද සිංහල පද්‍යය."
සොව,"[නා.] 1. ශෝකය ; දුක.
2. ලජ්ජාව.
3. කුඩා දෙය ; ක්ෂුද්‍ර වස්තුව.
4. සුවඳ.
5. ගීතය.
6. ප්‍රසන්න භාවය."
සොවක,"[නා.ප්‍ර.] සුගන්ධය."
සොවණ,"[නා.ප්‍ර.] රත්රන් ; ස්වර්ණ."
"සොවණ කොතුර","[නා.ප්‍ර.] රන් කොතලය."
සොවනවා,"[ක්‍රි.] ශෝක කරනවා ; ශෝක වෙනවා."
"සොවන්, සෝවාන්","[වි.] නිවන් මඟට පැමිණි ; සෝතාපන්න."
සොවල්,"[නා.ප්‍ර.] අසවලා."
සොවස්,"[නා.ප්‍ර.] පුරාණයේ ඉඩකඩම් ආදිය සඳහා අය කළ ගාස්තුව ; කුලිය."
සොව්,"[නා.ප්‍ර.] 1. ශෝකය.
2. ශ්‍රවණය ; ඇසීම."
සොවැත,"[වි.] සෝවාන් බවට පත් වූ."
සොවැත්ත,"[නා.ප්‍ර.] ශුභ වස්තුව ; ශුභ ලාංඡනය ; මඟුල් ලකුණ ; ස්වස්තිකය."
සොවිසා,"[නා.ප්‍ර.] ප්‍රොටෝසොවියා නම් සත්ව ගණයේ කීට අවස්ථාව."
"සොවුරු, සොහොයුරු, සොහොවුරු","[වි.] එක් මවගේ දරු වූ ; එක් කුස උපන්."
සොස,"[නා.] ශ්වාස නම් රෝගය ; කාශ රෝගය."
සොස්නිය,"(කථා.) [නා.] දොර පිළ ; අගුව."
සොසානික,"[වි.] සුසානයෙහි හෙවත් සොහොනෙහි වූ ; සොහොන් හා සම්බන්ධ."
සොසිනවා,"[ක්‍රි.] 1. ශෝක කරනවා.
2. හුස්ම ගන්නවා.
3. සුසුම් ලනවා.
4. වේළෙනවා."
සොසු,"[නා.ප්‍ර.] 1. මුව පෙදෙස ; හොම්බ ; හොස්ස.
2. ශෝකය."
සොසුළු,"[වි.] ඩහදිය ගැලූ."
සොසුළුවා,"[නා.] ඩහදිය හෙලූ තැනැත්තා ; වෙහෙසුණු පුද්ගලයා."
සොසොපු,"[වි.] බොරු ; මිථ්‍යා ; ව්‍යාජ."
සොහොන,"[නා.] 1. මළ මිනී ඉවත දමන, වළලන, දවන ස්ථානය ; සුසාන භූමිය ; සොහොන් බිම.
2. මළ සිරුරක් මිහිදන් ව පවතින, හෝ එය දැවීමෙන් ඉතුරු වන අළු තැන්පත් ව ඇති තැන."
"සොහොන් කඩ","[නා.ප්‍ර.] මිනී මරා (සොහොනේ) ඉවත දමන රෙදි."
"සොහොන් කිළිය","[නා.] 1. සොහොන් පිටියෙහි ඇති පැල හෝ ශාලාව.
2. සොහොන් කොත ; මිනී අළු ආදිය හෝ මීනි තැන්පත්කොට සාදනු ලබන ස්මාරකය."
"සොහොන් කුම්බය","[නා.] යක් තොවිල්වල දී ඇදුරකු සොහොනක් මත දපා කරන යාතුකර්මයක්."
"සොහොන් කොත","[නා.] වළලන ලද මිනීවළ මත හෝ මිනීඅළු ආදිය තැන්පත් කොටස් මත හෝ තනන ස්මාරකය."
"සොහොන් ගොවුවා","[නා.] සොහොන් පිටිය රැකබලා ගන්නා තැනැත්තා ; සොහොන් පල්ලා."
"සොහොයුරා, සොහොවුරා","[නා.] සහෝදරයා."
"සොහොයුරිය, සොහොවුරිය","[නා.] සහෝදරිය."
සොළසඟුල,"[නා.] අඟල් දහසය."
"සොළොස් කලාව","[නා.] චන්ද්‍රයාගෙන් දහසයෙන් පංගුව."
සොළොස්මස්ථාන,"[නා.බහු.] ප්‍රධාන දේශීය බෞද්ධ සිද්ධස්ථාන වශයෙන් ගැනෙන පූජනීය ස්ථාන දහසය."
සෝ,"[නා.ප්‍ර.] 1. ශෝකය.
2. කණ.
3. දියපාර ; ඔය."
සෝකය,"[නා.] දුක ; ශෝකය කණගාටුව ; වේදනාව."
සෝගම්,"[නා.ප්‍ර.] බඩ ඉඟුරු."
සෝඩා,"(පාරිභා.) [නා.ප්‍ර.] සෝඩියම්වල විවිධ සංයෝග."
"සෝඩා විරංජකය","(පාරිභා.) [නා.] සෝඩියම් පෙරොක්සයිඩයේ ද තනුක හයිඩ්‍රොක්ලෝරික් අම්ලයේ ද මිශ්‍රණයක්."
සෝඩිය,"[නා.] වර්ණ මාලාව ; භාෂාවකට අයත් අක්ෂර මාලාව ; හෝඩිය."
සෝඩියම්,"(පාරිභා.) [නා.ප්‍ර.] ආවර්තිතා වගුවේ පළමු කාණ්ඩයේ ඇති ලෝහමය මූල ද්‍රව්‍යයක්."
"සෝඩියම් ආසනයිට්","(පාරිභා.) [නා.ප්‍ර.] කෝස්ටික් සෝඩා ද්‍රාවණයක ආසිනියස් ඔක්සයිඩ් ද්‍රවණය වීමෙන් සෑදෙන ආම්ලික ලවණයක්."
"සෝඩියම් කාබනේට්","[නා.ප්‍ර.] කෑමට ගන්නා සාමාන්‍ය ලුණු."
"සෝඩියම් නයිට්‍රේට්","(පාරිභා.) [නා.ප්‍ර.] පොහොර සඳහා භාවිත සුදු ස්ඵටික රූප ද්‍රව්‍යය."
"සෝඩියම් බයිකාබනේට්","[නා.ප්‍ර.] ජලයේ දිය වන සුදු කුඩු විශේෂයක් ; බේකිං සෝඩා."
"සෝඩියම් මොනොක්සයිඩ්","(පාරිභා.) [නා.ප්‍ර.] සෝඩියම් රත් කිරීමෙන් ලැබෙන සුදු පැහැති ඝන ද්‍රව්‍යය."
"සෝඩියම් සල්ෆේට්","(පාරිභා.) [නා.ප්‍ර.] බෙහෙත් සඳහා ගනු ලබන ලවණ විශේෂයක්."
"සෝඩියම් සිලිකේට්","(පාරිභා.) [නා.ප්‍ර.] සිලිකා සමග සෝඩියම් හයිඩ්‍රොක්සයිඩ් හා කාබන් ඩයොක්සයිඩ් ප්‍රතික්‍රියා කළ විට ලැබෙන ලවණයක්."
"සෝඩියම් හයිඩ්‍රොක්සයිඩ්","(පාරිභා.) [නා.ප්‍ර.] සෝඩියම් ක්ලෝරයිඩ් ද්‍රාවණයක් විද්‍යුත් විච්ඡේදනය කිරීමෙන් සෑදෙන කෝස්ටික් සෝඩා."
සෝණ,"[නා.ප්‍ර.] බල්ලා ; සුනඛයා."
සෝණිත,"[නා.ප්‍ර.] 1. ලෙය ; රුධිරය.
2. දරුවකු පිළිසිඳ ගැනීමට අවශ්‍ය වන ස්ත්‍රී බීජය ; ශ්‍රෝණිතය."
සෝතය,"[නා.] 1. දියපාර ; කුඩා වතුර පාර ; ඔය.
2. කන ; කර්ණය."
සෝත්සාහය,"[නා.] ස්ව උත්සාහය ; තමන්ගේම උත්සාහය ; තමාගේම ප්‍රයත්නය ; වීර්යය ; ව්‍යායාමය."
සෝතාපත්තිය,"[නා.ප්‍ර.] ආර්ය මාර්ග නමැති ශ්‍රෝතසයට පැමිණීම ; සෝවාන් වීම."
සෝතායතන,"[නා.ප්‍ර.] කන නමැති ආයතනය ; ශ්‍රවණය පිළිබඳ ආයතනය."
සෝතුකාම,"[වි.] අසනු කැමැති."
සෝතුරු,"[වි.] ශෝකය ගෙන දෙන."
සෝදනවා,"[ක්‍රි.] ජලය හෝ වෙන යම් ද්‍රව්‍යයකින් යමක අපිරිසිදු භාවය ඉවත් කරනවා ; ධෝවනය කරනවා."
"සෝදා පාළුව","[නා.] වර්ෂාවෙන් සුළඟින්, ඇළ දොළ ගංගා ජලයෙන් හා හිමෙන් පස සෝදා ගෙන යෑම ; පාංශු ඛාදනය."
සෝදිය,"[නා.ප්‍ර.] ඩහදිය."
සෝදිසි,"[වි.] පරික්ෂා සහගත ; විමසිලිමත්."
"සෝදිසි වරෙන්තුව","[නා.] වරදකට සැක කරන අයෙකු ගැන සොයා බැලීම සඳහා නිකුත් කරන වරෙන්තුව."
සෝදුපත,"[නා.] යමක් මුද්‍රණය කොට අවසන් කිරීමට ප්‍රථම එහි පැවතිය හැකි දෝෂ ආදිය ඉවත් කිරීමට සපයනු ලබන මුල් පිටපත ; ශෝධ්‍ය පත්‍රය."
සෝදුව,"[නා.] 1. ජලයෙන් සෝදා හැරීම.
2. සෝදු පත."
සෝධකයා,"(කථා.) [නා.] ශුද්ධ පවිත්‍ර කරන්නා ; යම් ස්ථානයක් හෝ යමක අපවිත්‍ර දෑ ඉවත්කොට පිරිසිදු කරන්නා."
සෝධන,"[නා.ප්‍ර.] පිරිසිදු කිරීම ; ශෝධනය."
සෝන,"[නා.ප්‍ර.] 1. බල්ලා.
2. සොහොන."
සෝනිත,"[නා.ප්‍ර.] ලේ ; රුධිරය."
සෝපද්‍රව,"[වි.] උවදුරු සහිත."
"සෝපධිශේෂ, සෝපාදිශේෂ","[වි.] උපධි සංඛ්‍යාත පංචස්කන්ධය පමණක් ඉතිරි ව ඇති."
සෝපහාස,"[වි.] උපහාසාත්මක ; උපහාස සහිත."
සෝපාංගක,"(පාරිභා.) [වි.] කුඩා උපාංග තිබෙන."
සෝපාන,"[නා.ප්‍ර.] තරප්පුව ; පියගැට පෙළ ; හිණ ; ඉණිමඟ."
සෝපාව,"[නා.] ඇඳක් වැනි දිගටි ආසනය ; කවිච්චිය."
සෝබන,"[වි.] මනහර ; ශෝභමාන."
සෝභමාන,"[වි.] බබළන ; ශෝභාමත්."
සෝභාව,"[නා.] කාන්තිය ; දීප්තිය ; මනහර බව ; ප්‍රභාව."
සෝම,"[නා.ප්‍ර.] 1. හඳ ; චන්ද්‍රයා.
2. දෙවියකුගේ නාමය.
3. යාගහෝමවලදී භාවිත කරන පානයක්.
4. ස්ත්‍රී රෝගයක නාමය."
සෝමන,"[නා.] අතීතයෙහි දේශීය ප්‍රභූ පිරිස භාවිත යටි කය වස්ත්‍රය."
සෝමනස්ස,"[නා.ප්‍ර.] සොම්නස ; සතුට."
සෝමාරි,"[වි.] උදාසීන ; අලස ; කම්මැලි ; දුර්වල."
සෝයා,"[නා.ප්‍ර.] මාංශජනක ධාතු අධික වූ බීජ සහිත රනිල කුලයේ ශාකයක් ; එම ශාකයේ ඇට."
සෝල,"[නා.ප්‍ර.] කොන්තය ; සෙංකෝලය."
සෝල්ට්පීටර්,"(පාරිභා.) [නා.ප්‍ර.] සෝඩියම් නයිට්‍රේට් නම් ලවණ වර්ගය."
සෝල්ටීරියම,"(පාරිභා.) [නා.] රෝමන්ථකයන්ගේ තුන් වැනි ආමාශය ; ත්‍රිකාමාශය."
"සෝල්බරි ආණ්ඩු ක්‍රමය","[නා.] සෝල්බරි කොමිෂන් සභාව විසින් යෝජනා කරන ලදුව 1947 දී ලංකාවේ ක්‍රියාත්මක වූ ආණ්ඩු ක්‍රමය."
"සෝල්බරි කොමිසම","[නා.] සෝල්බරි සාමිවරයාගේ ප්‍රධානත්වයෙන්, බ්‍රිතාන්‍ය ආණ්ඩුව විසින් මෙරට ආණ්ඩුක්‍රම ප්‍රතිසංස්කරණය සඳහා යෝජනා ඉදිරිපත් කිරිමට පත්කර එවන ලද කොමිෂන් සභාව."
සෝලුව,"[නා.] 1. සැරයටිය ; යෂ්ටිය.
2. මලින් කළ සැරසිල්ල.
3. නළල් පට."
සෝවාන්,"[නා.ප්‍ර.] සෝවාන් මාර්ගය හෝ සෝවාන් ඵලය ; කෙලෙසුන් නැසීමේ මාර්ගයට පිවිසි ආර්යයා විසින් සක්කායදිට්ඨි, විචිකිච්ඡා, සීලබ්බත පරාමාස යන සංයෝජන තුන සිඳදැමීමෙන් ඇතිවන තත්වය."
"සෝවාන් ඵලය","[නා.] සෝවාන් මාර්ගයට පැමිණි පුද්ගලයාට ඒ සමගම පහළවන තත්ත්වය."
"සෝවාන් මඟ","[නා.ප්‍ර.] ආර්ය අෂ්ටාංගික මාර්ගයට පළමුවරට පැමිණීම."
සෝස්,"[නා.ප්‍ර.] ආහාර රසවත් කර ගැනීම සඳහා ප්‍රධාන වශයෙන් තක්කාලි, මිරිස්, සුදුලූනු, සෝයා ආදියෙන් සාදනු ලබන උකු දියරයක්."
සෝළිය,"[නා.] 1. වස්ත්‍රය ; රෙද්ද.
2. දෝෂාරෝපණය"
සෝළුව,"[නා.] 1. මල් වඩම ; මාලා දාමය.
2. බස්තම."
සෞඛ්‍ය,"[වි.] සනීපය පිළිබඳ ; සුවය සම්බන්ධ."
සෞඛ්‍යය,"[නා.] සනීපය ; සුවය."
සෞඛ්‍යාගාරය,"(පාරිභා.) [නා.] ක්ෂයරෝග ආදී පෙණහැල්ලේ ආබාධවලින් පෙළෙන රෝගීන්ට සුවය ලබාදෙන ආයතනය."
සෞඛ්‍යාරක්ෂක,"[වි.] සනීපය ආරක්ෂා කරන."
සෞගන්ධික,"[වි.] සුවඳින් යුත් ; සුවඳවත් ; සුගන්ධ."
සෞජන්‍ය,"[වි.] සත්පුරුෂ ගුණයුත් ; සුජනවත්."
සෞත්‍රාන්තික,"[වි.] සූත්‍ර පිටකය හදාරන හෝ දරන ; සූත්‍රවලට අයත් ; සූත්‍ර හා සම්බන්ධ."
සෞන්දර්ය,"[වි.] අලංකාර ; සුන්දර ; ලස්සන."
